external_id,entity_type,parent_external_id,epic_external_id,summary,description,priority,story_points,sprint,labels,assignee_role,module,depends_on,acceptance_criteria,validation_commands
EP-00,epic,,,Governance and Contracts,Freeze architecture contracts and enforce quality gates in CI.,Highest,,,"english-sprint,architecture,program",Program Lead,EP-00,,Epic scope and outcomes approved.,
EP-01,epic,,,Curriculum Data P0 Remediation,Remove all P0 curriculum defects across CEFR progression and session integrity.,Highest,,,"english-sprint,architecture,program",Program Lead,EP-01,,Epic scope and outcomes approved.,
EP-02,epic,,,Prompt and Resource Integrity,Resolve prompt_ref and resource locator integrity across all weeks.,Highest,,,"english-sprint,architecture,program",Program Lead,EP-02,,Epic scope and outcomes approved.,
EP-03,epic,,,Navigation Shell Canonical,Unify shell and router around one canonical route contract.,High,,,"english-sprint,architecture,program",Program Lead,EP-03,,Epic scope and outcomes approved.,
EP-04,epic,,,Design System and CSS Governance,Adopt one CSS entrypoint and govern style architecture.,High,,,"english-sprint,architecture,program",Program Lead,EP-04,,Epic scope and outcomes approved.,
EP-05,epic,,,Frontend Data Wiring,Replace hardcoded dashboard and progress UI values with runtime state.,High,,,"english-sprint,architecture,program",Program Lead,EP-05,,Epic scope and outcomes approved.,
EP-06,epic,,,Session Runtime Hardening,"Harden rehydration, fallback, retries, and resilience in session runtime.",High,,,"english-sprint,architecture,program",Program Lead,EP-06,,Epic scope and outcomes approved.,
EP-07,epic,,,Observability and QA,Implement event schema and critical-path e2e validation.,High,,,"english-sprint,architecture,program",Program Lead,EP-07,,Epic scope and outcomes approved.,
EP-08,epic,,,Polish and Release Readiness,"Deliver AA accessibility, performance budgets, and release checklists.",Medium,,,"english-sprint,architecture,program",Program Lead,EP-08,,Epic scope and outcomes approved.,
S0-B01,story,,EP-03,ADR for canonical routing,"Define one canonical route table, alias policy, and deprecation timeline.",Highest,3,S0,"english-sprint,sprint-0,navigation-shell",Frontend Architect,Navigation Shell,,Single canonical route table documented; legacy aliases and deprecation date approved.,PR review checklist
S0-B02,story,,EP-03,Unify shell and router contracts,Make LearningShell and hash router consume the same canonical route definitions.,Highest,8,S0,"english-sprint,sprint-0,navigation-shell",Frontend Core A,Navigation Shell,S0-B01,"Canonical routes implemented: hoy,sesion,cierre,evaluacion,modulos,progreso; legacy redirects preserved.",node --test app/web/js/tests/routes.test.mjs; node --test app/web/js/tests/hash_router.test.mjs; node --test app/web/js/tests/view_switcher.test.mjs
S0-B03,story,,EP-00,Freeze content/runtime contract v4.1,Create schema v4.1 and compatibility notes for v4 to v4.1 migration.,Highest,5,S0,"english-sprint,sprint-0,governance",Learning Architect,Governance,S0-B01,schema.v4.1 and contract guide published; enum and integrity rules frozen.,Schema validation on week*.v4.json
S0-B04,story,,EP-00,Build curriculum integrity validator,"Implement script that checks CEFR drift, prompt resolution, resource locator completeness, and empty sessions.",Highest,5,S0,"english-sprint,sprint-0,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B03,Validator returns non-zero exit on P0 and outputs machine-readable report.,python3 scripts/validate_curriculum_integrity.py --repo-root .
S0-B05,story,,EP-00,Enable CI blocker for P0 findings,Wire audit command with fail-on-p0 into CI and block merge when P0 > 0.,Highest,3,S0,"english-sprint,sprint-0,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B04,CI job fails when audit detects P0 issues and status is required for merge.,CI run with python3 /Users/dfernandez/.codex/skills/english-sprint-architect/scripts/audit_english_sprint.py --repo-root . --fail-on-p0
S0-B06,story,,EP-04,ADR for single CSS entrypoint,Decide official CSS entrypoint and deprecation strategy for secondary entrypoint.,High,2,S0,"english-sprint,sprint-0,design-system",UI Architect,Design System,,CSS entrypoint decision approved with migration plan.,PR review checklist
S0-B07,story,,EP-04,Implement single CSS entrypoint,Apply selected entrypoint in app/web/index.html and align stylesheet chain.,High,5,S0,"english-sprint,sprint-0,design-system",UI Platform Engineer,Design System,S0-B06,App loads through one entrypoint; no critical regression on desktop/mobile.,Manual smoke desktop/mobile
S0-B08,story,,EP-01,Create P0 remediation queue for S1-S2,Map all P0 findings to concrete S1/S2 tasks with file-level ownership.,Highest,3,S0,"english-sprint,sprint-0,curriculum-data",Learning Architect,Curriculum Data,S0-B04,All current P0 findings mapped to actionable tasks with acceptance criteria.,Traceability matrix review
S0-B09,story,,EP-07,Define events schema baseline,Define and emit required runtime events with stable payload schema.,High,5,S0,"english-sprint,sprint-0,observability",Frontend Core B,Observability,S0-B01,"Events include session_id, day_id, step_id, timestamp and pass unit tests.",Unit tests for event payloads
S0-B01-ST1,subtask,S0-B01,EP-03,Document canonical routes and states,Create canonical route/state table for all shell views.,High,2,S0,"english-sprint,sprint-0,subtask,navigation-shell",Frontend Architect,Navigation Shell,S0-B01,Subtask deliverable completed and merged.,Defined in parent story
S0-B01-ST2,subtask,S0-B01,EP-03,Define legacy alias map,List old hashes and deterministic redirect targets.,High,1,S0,"english-sprint,sprint-0,subtask,navigation-shell",Frontend Architect,Navigation Shell,S0-B01,Subtask deliverable completed and merged.,Defined in parent story
S0-B02-ST1,subtask,S0-B02,EP-03,Refactor routes registry,Unify route constants and labels in routing module.,High,3,S0,"english-sprint,sprint-0,subtask,navigation-shell",Frontend Core A,Navigation Shell,S0-B02,Subtask deliverable completed and merged.,Defined in parent story
S0-B02-ST2,subtask,S0-B02,EP-03,Wire shell view metadata,Align view metadata with canonical route IDs.,High,3,S0,"english-sprint,sprint-0,subtask,navigation-shell",Frontend Core A,Navigation Shell,S0-B02,Subtask deliverable completed and merged.,Defined in parent story
S0-B02-ST3,subtask,S0-B02,EP-03,Update routing tests,Adjust route/hash/view switcher tests to canonical flow.,High,2,S0,"english-sprint,sprint-0,subtask,navigation-shell",Frontend Core A,Navigation Shell,S0-B02,Subtask deliverable completed and merged.,Defined in parent story
S0-B03-ST1,subtask,S0-B03,EP-00,Draft schema v4.1,Add schema.v4.1 with frozen enums and integrity constraints.,High,2,S0,"english-sprint,sprint-0,subtask,governance",Learning Architect,Governance,S0-B03,Subtask deliverable completed and merged.,Defined in parent story
S0-B03-ST2,subtask,S0-B03,EP-00,Publish contract guide,Document data contract and compatibility strategy.,High,2,S0,"english-sprint,sprint-0,subtask,governance",Learning Architect,Governance,S0-B03,Subtask deliverable completed and merged.,Defined in parent story
S0-B03-ST3,subtask,S0-B03,EP-00,Run compatibility check,Validate existing week content against v4.1 expectations.,High,1,S0,"english-sprint,sprint-0,subtask,governance",Frontend Architect,Governance,S0-B03,Subtask deliverable completed and merged.,Defined in parent story
S0-B04-ST1,subtask,S0-B04,EP-00,Implement CEFR integrity checks,Detect week target vs step difficulty mismatches.,High,2,S0,"english-sprint,sprint-0,subtask,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B04,Subtask deliverable completed and merged.,Defined in parent story
S0-B04-ST2,subtask,S0-B04,EP-00,Implement prompt/resource checks,Detect unresolved prompt_ref and missing locator page.,High,2,S0,"english-sprint,sprint-0,subtask,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B04,Subtask deliverable completed and merged.,Defined in parent story
S0-B04-ST3,subtask,S0-B04,EP-00,Emit JSON report,Output machine-readable finding report with severity and path.,High,1,S0,"english-sprint,sprint-0,subtask,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B04,Subtask deliverable completed and merged.,Defined in parent story
S0-B05-ST1,subtask,S0-B05,EP-00,Add CI workflow job,Create quality gate job in CI pipeline.,High,1,S0,"english-sprint,sprint-0,subtask,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B05,Subtask deliverable completed and merged.,Defined in parent story
S0-B05-ST2,subtask,S0-B05,EP-00,Enforce fail-on-p0,Run audit with fail-on-p0 and block merge.,High,1,S0,"english-sprint,sprint-0,subtask,quality-pipeline",DevEx Engineer,Quality Pipeline,S0-B05,Subtask deliverable completed and merged.,Defined in parent story
S0-B05-ST3,subtask,S0-B05,EP-00,Validate branch protection,Ensure quality job is required status check.,High,1,S0,"english-sprint,sprint-0,subtask,quality-pipeline",Program Lead,Quality Pipeline,S0-B05,Subtask deliverable completed and merged.,Defined in parent story
S0-B06-ST1,subtask,S0-B06,EP-04,Assess current CSS entrypoints,Compare styles.css vs css/index.css load chain.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Architect,Design System,S0-B06,Subtask deliverable completed and merged.,Defined in parent story
S0-B06-ST2,subtask,S0-B06,EP-04,Publish ADR decision,Record final entrypoint decision and deprecation plan.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Architect,Design System,S0-B06,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST1,subtask,S0-B07,EP-04,Update HTML stylesheet link,Point app shell to official CSS entrypoint.,High,2,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST2,subtask,S0-B07,EP-04,Align import chain,Remove duplicate style loading and align CSS layer order.,High,2,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST3,subtask,S0-B07,EP-04,Run visual smoke,Check desktop and mobile baseline views for regressions.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST1,subtask,S0-B08,EP-01,Export P0 findings list,Extract all P0 findings with file-level evidence.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Learning Architect,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST2,subtask,S0-B08,EP-01,Create S1-S2 batches,Group findings into implementation waves and assign owners.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Learning Architect,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST3,subtask,S0-B08,EP-01,Validate traceability,Ensure every finding maps to one backlog task.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Program Lead,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST1,subtask,S0-B09,EP-07,Draft event schema,Define required runtime events and payload fields.,High,2,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST2,subtask,S0-B09,EP-07,Emit events from orchestrator,Instrument orchestrator/bootstrap with schema-compliant events.,High,2,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST3,subtask,S0-B09,EP-07,Add payload tests,Create unit tests validating event schema.,High,1,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
