Issue Id,Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Assignee,Components,Depends On
EP-00,Epic,Governance and Contracts,"Freeze architecture contracts and enforce quality gates in CI.

Acceptance: Epic scope and outcomes approved.
Validation: ",Highest,"english-sprint,architecture,program",Governance and Contracts,,,,,Program Lead,EP-00,
EP-01,Epic,Curriculum Data P0 Remediation,"Remove all P0 curriculum defects across CEFR progression and session integrity.

Acceptance: Epic scope and outcomes approved.
Validation: ",Highest,"english-sprint,architecture,program",Curriculum Data P0 Remediation,,,,,Program Lead,EP-01,
EP-02,Epic,Prompt and Resource Integrity,"Resolve prompt_ref and resource locator integrity across all weeks.

Acceptance: Epic scope and outcomes approved.
Validation: ",Highest,"english-sprint,architecture,program",Prompt and Resource Integrity,,,,,Program Lead,EP-02,
EP-03,Epic,Navigation Shell Canonical,"Unify shell and router around one canonical route contract.

Acceptance: Epic scope and outcomes approved.
Validation: ",High,"english-sprint,architecture,program",Navigation Shell Canonical,,,,,Program Lead,EP-03,
EP-04,Epic,Design System and CSS Governance,"Adopt one CSS entrypoint and govern style architecture.

Acceptance: Epic scope and outcomes approved.
Validation: ",High,"english-sprint,architecture,program",Design System and CSS Governance,,,,,Program Lead,EP-04,
EP-05,Epic,Frontend Data Wiring,"Replace hardcoded dashboard and progress UI values with runtime state.

Acceptance: Epic scope and outcomes approved.
Validation: ",High,"english-sprint,architecture,program",Frontend Data Wiring,,,,,Program Lead,EP-05,
EP-06,Epic,Session Runtime Hardening,"Harden rehydration, fallback, retries, and resilience in session runtime.

Acceptance: Epic scope and outcomes approved.
Validation: ",High,"english-sprint,architecture,program",Session Runtime Hardening,,,,,Program Lead,EP-06,
EP-07,Epic,Observability and QA,"Implement event schema and critical-path e2e validation.

Acceptance: Epic scope and outcomes approved.
Validation: ",High,"english-sprint,architecture,program",Observability and QA,,,,,Program Lead,EP-07,
EP-08,Epic,Polish and Release Readiness,"Deliver AA accessibility, performance budgets, and release checklists.

Acceptance: Epic scope and outcomes approved.
Validation: ",Medium,"english-sprint,architecture,program",Polish and Release Readiness,,,,,Program Lead,EP-08,
S0-B01,Story,ADR for canonical routing,"Define one canonical route table, alias policy, and deprecation timeline.

Acceptance: Single canonical route table documented; legacy aliases and deprecation date approved.
Validation: PR review checklist",Highest,"english-sprint,sprint-0,navigation-shell",,EP-03,,3,S0,Frontend Architect,Navigation Shell,
S0-B02,Story,Unify shell and router contracts,"Make LearningShell and hash router consume the same canonical route definitions.

Acceptance: Canonical routes implemented: hoy,sesion,cierre,evaluacion,modulos,progreso; legacy redirects preserved.
Validation: node --test app/web/js/tests/routes.test.mjs; node --test app/web/js/tests/hash_router.test.mjs; node --test app/web/js/tests/view_switcher.test.mjs",Highest,"english-sprint,sprint-0,navigation-shell",,EP-03,,8,S0,Frontend Core A,Navigation Shell,S0-B01
S0-B03,Story,Freeze content/runtime contract v4.1,"Create schema v4.1 and compatibility notes for v4 to v4.1 migration.

Acceptance: schema.v4.1 and contract guide published; enum and integrity rules frozen.
Validation: Schema validation on week*.v4.json",Highest,"english-sprint,sprint-0,governance",,EP-00,,5,S0,Learning Architect,Governance,S0-B01
S0-B04,Story,Build curriculum integrity validator,"Implement script that checks CEFR drift, prompt resolution, resource locator completeness, and empty sessions.

Acceptance: Validator returns non-zero exit on P0 and outputs machine-readable report.
Validation: python3 scripts/validate_curriculum_integrity.py --repo-root .",Highest,"english-sprint,sprint-0,quality-pipeline",,EP-00,,5,S0,DevEx Engineer,Quality Pipeline,S0-B03
S0-B05,Story,Enable CI blocker for P0 findings,"Wire audit command with fail-on-p0 into CI and block merge when P0 > 0.

Acceptance: CI job fails when audit detects P0 issues and status is required for merge.
Validation: CI run with python3 /Users/dfernandez/.codex/skills/english-sprint-architect/scripts/audit_english_sprint.py --repo-root . --fail-on-p0",Highest,"english-sprint,sprint-0,quality-pipeline",,EP-00,,3,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B06,Story,ADR for single CSS entrypoint,"Decide official CSS entrypoint and deprecation strategy for secondary entrypoint.

Acceptance: CSS entrypoint decision approved with migration plan.
Validation: PR review checklist",High,"english-sprint,sprint-0,design-system",,EP-04,,2,S0,UI Architect,Design System,
S0-B07,Story,Implement single CSS entrypoint,"Apply selected entrypoint in app/web/index.html and align stylesheet chain.

Acceptance: App loads through one entrypoint; no critical regression on desktop/mobile.
Validation: Manual smoke desktop/mobile",High,"english-sprint,sprint-0,design-system",,EP-04,,5,S0,UI Platform Engineer,Design System,S0-B06
S0-B08,Story,Create P0 remediation queue for S1-S2,"Map all P0 findings to concrete S1/S2 tasks with file-level ownership.

Acceptance: All current P0 findings mapped to actionable tasks with acceptance criteria.
Validation: Traceability matrix review",Highest,"english-sprint,sprint-0,curriculum-data",,EP-01,,3,S0,Learning Architect,Curriculum Data,S0-B04
S0-B09,Story,Define events schema baseline,"Define and emit required runtime events with stable payload schema.

Acceptance: Events include session_id, day_id, step_id, timestamp and pass unit tests.
Validation: Unit tests for event payloads",High,"english-sprint,sprint-0,observability",,EP-07,,5,S0,Frontend Core B,Observability,S0-B01
S0-B01-ST1,Sub-task,Document canonical routes and states,"Create canonical route/state table for all shell views.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,navigation-shell",,EP-03,S0-B01,2,S0,Frontend Architect,Navigation Shell,S0-B01
S0-B01-ST2,Sub-task,Define legacy alias map,"List old hashes and deterministic redirect targets.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,navigation-shell",,EP-03,S0-B01,1,S0,Frontend Architect,Navigation Shell,S0-B01
S0-B02-ST1,Sub-task,Refactor routes registry,"Unify route constants and labels in routing module.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,navigation-shell",,EP-03,S0-B02,3,S0,Frontend Core A,Navigation Shell,S0-B02
S0-B02-ST2,Sub-task,Wire shell view metadata,"Align view metadata with canonical route IDs.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,navigation-shell",,EP-03,S0-B02,3,S0,Frontend Core A,Navigation Shell,S0-B02
S0-B02-ST3,Sub-task,Update routing tests,"Adjust route/hash/view switcher tests to canonical flow.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,navigation-shell",,EP-03,S0-B02,2,S0,Frontend Core A,Navigation Shell,S0-B02
S0-B03-ST1,Sub-task,Draft schema v4.1,"Add schema.v4.1 with frozen enums and integrity constraints.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,2,S0,Learning Architect,Governance,S0-B03
S0-B03-ST2,Sub-task,Publish contract guide,"Document data contract and compatibility strategy.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,2,S0,Learning Architect,Governance,S0-B03
S0-B03-ST3,Sub-task,Run compatibility check,"Validate existing week content against v4.1 expectations.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,1,S0,Frontend Architect,Governance,S0-B03
S0-B04-ST1,Sub-task,Implement CEFR integrity checks,"Detect week target vs step difficulty mismatches.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,2,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B04-ST2,Sub-task,Implement prompt/resource checks,"Detect unresolved prompt_ref and missing locator page.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,2,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B04-ST3,Sub-task,Emit JSON report,"Output machine-readable finding report with severity and path.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,1,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B05-ST1,Sub-task,Add CI workflow job,"Create quality gate job in CI pipeline.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,DevEx Engineer,Quality Pipeline,S0-B05
S0-B05-ST2,Sub-task,Enforce fail-on-p0,"Run audit with fail-on-p0 and block merge.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,DevEx Engineer,Quality Pipeline,S0-B05
S0-B05-ST3,Sub-task,Validate branch protection,"Ensure quality job is required status check.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,Program Lead,Quality Pipeline,S0-B05
S0-B06-ST1,Sub-task,Assess current CSS entrypoints,"Compare styles.css vs css/index.css load chain.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B06,1,S0,UI Architect,Design System,S0-B06
S0-B06-ST2,Sub-task,Publish ADR decision,"Record final entrypoint decision and deprecation plan.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B06,1,S0,UI Architect,Design System,S0-B06
S0-B07-ST1,Sub-task,Update HTML stylesheet link,"Point app shell to official CSS entrypoint.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,2,S0,UI Platform Engineer,Design System,S0-B07
S0-B07-ST2,Sub-task,Align import chain,"Remove duplicate style loading and align CSS layer order.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,2,S0,UI Platform Engineer,Design System,S0-B07
S0-B07-ST3,Sub-task,Run visual smoke,"Check desktop and mobile baseline views for regressions.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,1,S0,UI Platform Engineer,Design System,S0-B07
S0-B08-ST1,Sub-task,Export P0 findings list,"Extract all P0 findings with file-level evidence.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Learning Architect,Curriculum Data,S0-B08
S0-B08-ST2,Sub-task,Create S1-S2 batches,"Group findings into implementation waves and assign owners.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Learning Architect,Curriculum Data,S0-B08
S0-B08-ST3,Sub-task,Validate traceability,"Ensure every finding maps to one backlog task.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Program Lead,Curriculum Data,S0-B08
S0-B09-ST1,Sub-task,Draft event schema,"Define required runtime events and payload fields.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,2,S0,Frontend Core B,Observability,S0-B09
S0-B09-ST2,Sub-task,Emit events from orchestrator,"Instrument orchestrator/bootstrap with schema-compliant events.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,2,S0,Frontend Core B,Observability,S0-B09
S0-B09-ST3,Sub-task,Add payload tests,"Create unit tests validating event schema.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,1,S0,Frontend Core B,Observability,S0-B09
